review_id,rating,review_text,review_date,helpful
981e465b-d3ba-4632-9c60-25051efac38a,5,It's good,11/22/2025 1:19,0
964d3555-9429-4c20-8127-ce3c71ce9273,5,WhatsApp not working well always shows offline please sort out my problem,11/24/2025 20:03,0
6c28859f-1554-4ca1-9aa8-9d66f204be0a,5,"Oppo not corresponding, share with me the official app( oppoR7)",11/25/2025 6:26,0
a7efafc3-5871-4020-a398-9cc12cb4072a,5,"Excellent app, great communication super connect that wonderful easy to connect especially overseas platforms",11/25/2025 18:09,0
de142b31-a5ad-446f-b7c8-51b264728478,4,simply the ɓest for chat and calls.i love it,11/24/2025 1:10,1
8b0ffc3b-d7d0-4198-8ce0-763674359246,5,good. but i need WhatsApp premium features,11/26/2025 16:42,0
XCdQN9L5-PsBJ-ftUV-Ov6H-Na1v3f0JxTLs,4,learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning ,25/11/2025 06:54,1
18294fa1-0410-4476-970f-33f188b0abfe,5,Awesome. I just need it to download and install,11/22/2025 20:27,0
c9fd6209-d8ed-482e-9b03-68cc2100fed0,5,very nice app thnx so much,11/22/2025 15:53,0
75b5068d-6b9b-4aa6-a069-abdb6bfc6388,5,Really really apriacite 100/,11/26/2025 17:06,0
af00686c-ff52-492f-8226-206ebce0581e,2,whatsapp web not working camera Focus not working,11/26/2025 17:29,0
accb4824-3408-4741-8e7d-5c99872e6490,5,Nice and good to use,11/23/2025 14:14,0
75d35c41-f867-4b54-b591-59112abee52a,5,This account can no longer use watsapp due to spam kyu ho raha hey,11/24/2025 19:49,1
yCFYcpXx-Pbbd-pF7p-8QVK-RkohTQWNE5Fq,4,forever controversy workshop lawyer carbon insurance hide glad violate raise good rush cop blame adolescent intensity lower opportunity survey steal burn bag adventure board option,21/11/2025 16:27,1
a3e28ea7-8ea6-464b-a0d2-b8fdab207248,4,"I've been using this app for years and I just absolutely love all the features. Recently the app has introduced a new chat lock feature and I would say that this feature is a very needed one as well because I've been struggling with some privacy issues (personal). I cannot use this feature on my redmi 8a dual because it's an older phone, and I'm terribly disappointed. Could you please let the users of older phones also have this feature, it would be very useful. Expecting a quick response☺️",11/24/2025 19:37,8
nYcuceD7-gxtp-dthp-lHUr-8OGICGAiTb8p,2,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,23/11/2025 18:00,1
a4eed4c4-acc6-4208-bb2c-ab2cebffb687,1,They banned my account more than 9 times I didn't know what I did,11/25/2025 0:15,0
70723c52-cf26-4d85-b444-f5521f2aae4a,1,i can't open my whatsapp whenever i open it.. it close automatically please help its very urgent,11/25/2025 23:58,0
1bb4e283-d52b-4ffb-9e81-1f80c27baa0b,1,Bad every day ban what'sapp,11/22/2025 15:00,0
dd96f58c-5f97-4fb5-b315-94e6f59de624,5,It's the most convenient and easy-to-use application for a communication with your international friends/ colleagues/ customers 💚,11/26/2025 14:37,0
1e8c2e8d-3d12-46b1-aceb-00cc0e3a3024,5,Install it very good application,11/26/2025 18:03,0
11ee0460-eb73-4226-870c-a6a5941fe56c,1,My whatsap was hacked,11/22/2025 17:26,0
JL7Nw9Xg-NOYH-wtZJ-2C9R-1i7CjkVI50Be,5,uVlIUP6rZOwbnKA9nUZiWqxC61ia2hHBs2L52NyTHS4nLs,23/11/2025 12:05,0
e7407e3d-c68c-482a-b169-05ccc0b5e6ba,5,Not like others.Its better,11/22/2025 21:20,0
ff759721-b5c4-4b29-9d61-353ceb480729,5,I'm still a novice with this app i need help,11/22/2025 0:26,0
wL1D5oj3-WWMC-WuG1-lqst-M4JainRDRm2Q,4,aHU4DCtH2mD9rhBxdZwXPAkfhASrXQTvktLUq3hSNkcd0EMIQVfZqEE8zL4ORd45u4k7uOiOXMxnyY0tnN8lBQBSMh4gh,24/11/2025 18:08,1
c5f103fb-d79c-4b98-a76c-1e8af4b0910b,1,WhatsApp are poor quality server,11/25/2025 19:18,1
5bdee32c-560e-46c3-98d1-e1dc3354fe72,5,I want to upgrade my WhatsApp please,11/23/2025 13:56,0
fdfa7e1c-ae65-4459-89db-708c02b5bf16,5,nicely done,11/24/2025 15:43,1
48da934c-0dbe-431f-807a-da1612977167,5,my name is Amobi Chris I am giving Whatsapp 5 Star review to show my appreciation for restoring my account back to my. I love Whatsapp 👍👍🤝,11/26/2025 0:33,1
47618a8d-c6bf-402b-8f89-5cf9787b8be4,5,Better than viber and skype. Thank you for giving replys .. Bye,11/25/2025 13:34,0
7955ac96-a729-4e41-a6a1-4fedb67b33ea,2,Chat wallpaper flickering this update😵‍💫,11/22/2025 12:06,2
d52f5c0b-9e1d-47c2-b5fb-71db7b32cdf4,1,I Try to change my number. I did not get the code. Now I do't have whatsapp anymore. just a permanent screen that prompt me to send a code that don't work and it doesn't show my chat anymore. I cannot use anymore. a QR Code would be so much better. I give you 1 star,11/22/2025 20:20,0
a1983bf5-96f4-4de6-a916-8c43144e8c99,5,use Facebook Account,11/25/2025 22:50,0
fa623735-2814-4d47-8605-3a1c5b8d371f,5,It ok,11/23/2025 6:23,1
faba54b3-eef1-4e5c-8fa8-1ff59e50c669,5,very useful app ever,11/23/2025 22:24,0
oDdtdxXE-A4fr-99kC-poIM-QtTcOfkIvMzG,1,truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly ,22/11/2025 13:02,0
21f949a2-4ad7-4f06-824a-c1bfeb859218,4,thanks you,11/22/2025 15:01,0
852b2a13-456f-4bc8-b25b-f7ed8c89fa04,5,this is so straight enough imagine sometimes it with only 3mbs that's amazing,11/26/2025 11:29,0
